bodyPart,equipment,name,target
waist,body weight,3/4 sit-up,abs
waist,body weight,alternate heel touchers,abs
back,cable,alternate lateral pulldown,back
lower legs,body weight,ankle circles,legs
back,body weight,archer pull up,back
chest,body weight,archer push up,chest
waist,body weight,arm slingers hanging bent knee legs,abs
waist,body weight,arm slingers hanging straight legs,abs
upper legs,body weight,arms apart circular toe touch (male),legs
waist,body weight,arms overhead full sit-up (male),abs
chest,leverage machine,assisted chest dip (kneeling),chest
waist,assisted,assisted hanging knee raise,abs
waist,assisted,assisted hanging knee raise with throw down,abs
lower legs,assisted,assisted lying calves stretch,legs
upper legs,assisted,assisted lying glutes stretch,legs
upper legs,assisted,assisted lying gluteus and piriformis stretch,legs
waist,assisted,assisted lying leg raise with lateral throw down,abs
waist,assisted,assisted lying leg raise with throw down,abs
waist,medicine ball,assisted motion russian twist,abs
back,leverage machine,assisted parallel close grip pull-up,back
upper legs,assisted,assisted prone hamstring,legs
upper legs,assisted,assisted prone lying quads stretch,legs
waist,assisted,assisted prone rectus femoris stretch,abs
back,leverage machine,assisted pull-up,back
chest,assisted,assisted seated pectoralis major stretch with stability ball,chest
upper legs,assisted,assisted side lying adductor stretch,legs
waist,assisted,assisted sit-up,abs
back,leverage machine,assisted standing chin-up,back
back,leverage machine,assisted standing pull-up,back
upper arms,assisted,assisted standing triceps extension (with towel),arms
upper arms,leverage machine,assisted triceps dip (kneeling),arms
chest,leverage machine,assisted wide-grip chest dip (kneeling),chest
cardio,body weight,astride jumps (male),cardio
cardio,body weight,back and forth step,cardio
back,stability ball,back extension on exercise ball,back
back,body weight,back lever,back
back,body weight,back pec stretch,back
upper legs,body weight,backward jump,legs
upper legs,body weight,balance board,legs
upper arms,band,band alternating biceps curl,arms
waist,band,band alternating v-up,abs
back,band,band assisted pull-up,back
waist,band,band assisted wheel rollerout,abs
chest,band,band bench press,chest
upper legs,band,band bent-over hip extension,legs
waist,band,band bicycle crunch,abs
back,band,band close-grip pulldown,back
upper arms,band,band close-grip push-up,arms
upper arms,band,band concentration curl,arms
back,band,band fixed back close grip pulldown,back
back,band,band fixed back underhand pulldown,back
shoulders,band,band front lateral raise,shoulders
shoulders,band,band front raise,shoulders
upper legs,band,band hip lift,legs
waist,band,band horizontal pallof press,abs
waist,band,band jack knife sit-up,abs
back,band,band kneeling one arm pulldown,back
waist,band,band kneeling twisting crunch,abs
upper legs,band,band lying hip internal rotation,legs
waist,band,band lying straight leg raise,abs
upper arms,band,band one arm overhead biceps curl,arms
upper legs,band,band one arm single leg split squat,legs
back,band,band one arm standing low row,back
chest,band,band one arm twisting chest press,chest
back,band,band one arm twisting seated row,back
upper legs,band,band pull through,legs
waist,band,band push sit-up,abs
shoulders,band,band reverse fly,shoulders
lower arms,band,band reverse wrist curl,arms
upper legs,band,band seated hip internal rotation,legs
waist,band,band seated twist,abs
shoulders,band,band shoulder press,shoulders
back,band,band shrug,back
upper arms,band,band side triceps extension,arms
lower legs,band,band single leg calf raise,legs
lower legs,band,band single leg reverse calf raise,legs
upper legs,band,band single leg split squat,legs
upper legs,band,band squat,legs
upper legs,band,band squat row,legs
waist,band,band standing crunch,abs
shoulders,band,band standing rear delt row,shoulders
waist,band,band standing twisting crunch,abs
upper legs,band,band step-up,legs
upper legs,band,band stiff leg deadlift,legs
upper legs,band,band straight back stiff leg deadlift,legs
back,band,band straight leg deadlift,back
shoulders,band,band twisting overhead press,shoulders
lower legs,band,band two legs calf raise - (band under both legs) v. 2,legs
back,band,band underhand pulldown,back
waist,band,band v-up,abs
waist,band,band vertical pallof press,abs
lower arms,band,band wrist curl,arms
shoulders,band,band y-raise,shoulders
upper arms,barbell,barbell alternate biceps curl,arms
upper legs,barbell,barbell bench front squat,legs
chest,barbell,barbell bench press,chest
upper legs,barbell,barbell bench squat,legs
back,barbell,barbell bent arm pullover,back
back,barbell,barbell bent over row,back
